Date_Time                    ,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),Charge_Time(s),Discharge_Time(s),V_Max_On_Cycle(V),Coulombic_Efficiency(%),mAh/g,Aux_Temperature_1(C),Aux_dT/dt_1(C),Aux_Temperature_2(C),Aux_dT/dt_2(C),Aux_Temperature_3(C),Aux_dT/dt_3(C)
2021/12/20 02:46:05,999114.9304,300.0024,53,30,2,1,6,1,0,4.188214,0,10.00319,10.11416,38.86232,33.91582,6452.493,861.0396,,101.11,219.873043,30.09821,0.0518465,29.87632,-0.02983034,29.97131,0.003262758,
2021/12/20 05:56:08,1010517.3495,300.0023,54,30,3,1,6,1,0,4.18808,0,12.35854,12.49167,48.05648,41.58954,6454.951,862.6857,,101.08,271.558043,30.26075,0.01913488,30.13316,0.009971261,30.13646,0.001149178,
2021/12/20 09:06:03,1021912.6561,300.0021,55,30,4,1,6,1,0,4.188057,0,14.71268,14.86894,57.24541,49.26209,6450.062,860.8497,,101.06,323.237826,29.6996,-0.05835474,29.62058,-0.03945947,29.76495,0.002477765,
2021/12/20 12:16:08,1033317.5035,300.0025,56,30,5,1,6,1,0,4.188349,0,17.06747,17.2464,66.43644,56.93371,6457.598,862.9621,,101.05,374.921739,29.72631,-0.01782,29.61007,-0.031268,29.9092,0.05686998,
2021/12/20 15:26:11,1044720.7093,300.0022,57,30,6,1,6,1,0,4.188251,0,19.42213,19.6237,75.62667,64.6041,6456.116,862.6966,,101.04,426.602174,29.76149,-0.03848851,29.64807,-0.0308907,29.67233,-0.02869904,
2021/12/20 18:36:09,1056118.489899,300.0032,58,30,7,1,6,1,0,4.188154,0,21.77677,22.00081,84.81664,72.27272,6451.846,861.2517,,101.03,478.278478,29.68087,0.03830433,29.67688,0.0106889,29.82127,0.04160225,
2021/12/20 21:45:58,1067507.5921,300.002,59,30,8,1,6,1,0,4.188095,0,24.13195,24.37832,94.00877,79.94216,6442.302,862.3295,,101.02,529.963478,29.9518,-0.05078971,30.20952,-0.02855837,30.25521,0.0001138449,
2021/12/21 00:56:07,1078916.8084,300.0043,60,30,9,1,6,1,0,4.188253,0,26.48706,26.75575,103.2008,87.61185,6462.765,861.7845,,101.01,581.646739,30.12943,0.03469527,30.18853,0.06079435,30.21302,0.02772331,
2021/12/21 13:11:20,1123029.9334,300.0033,61,30,0,1,6,2,0,4.18799,0,5.274598,5.344255,20.40676,18.50693,14861.28,7720.705,,101.32,116.179457,29.73918,-0.003882647,29.63275,-0.04767656,29.72766,-0.04327655,
2021/12/21 16:21:19,1134428.9023,300.0038,62,30,1,1,6,2,0,4.188135,0,7.630452,7.723141,29.60248,26.17881,6451.065,863.0538,,101.21,167.89437,29.72738,-0.05186141,29.55566,-0.06929934,29.63642,-0.05386889,
2021/12/21 19:31:18,1145827.38,300.0028,63,30,2,1,6,2,0,4.187967,0,9.985456,10.10156,38.79433,33.84835,6449.619,863.0617,,101.16,219.59913,29.82101,0.02001882,29.61187,-0.01891196,29.73504,0.003170967,
